x,y,z
122,198,d
122,197,d
120,197,d
119,196,d
118,196,d
117,196,d
117,196,d
116,195,d
115,195,d
114,194,d
112,194,d
107,192,d
106,192,d
105,191,d
104,191,d
103,190,d
102,190,d
101,189,d
100,189,d
99,189,d
97,188,d
95,187,d
94,187,d
92,185,d
91,185,d
90,185,d
90,184,d
88,184,d
86,183,d
81,182,d
80,182,d
79,182,d
78,182,d
78,181,d
77,181,d
75,181,d
74,181,d
74,180,d
73,180,d
71,179,d
69,178,d
68,178,d
67,178,d
67,177,d
66,176,d
61,173,d
61,172,d
60,172,d
57,168,d
56,168,d
56,167,d
55,167,d
55,166,d
54,165,d
53,165,d
52,164,d
51,163,d
50,163,d
49,163,d
48,163,d
47,162,d
46,161,d
44,161,d
43,160,d
42,159,d
41,158,d
40,158,d
39,157,d
38,157,d
37,156,d
36,156,d
35,156,d
35,155,d
35,155,d
34,155,d
34,154,d
33,154,d
32,153,d
31,153,d
30,153,d
30,152,d
29,152,d
29,152,d
29,151,d
27,151,d
26,151,d
26,150,d
25,150,d
24,149,d
23,148,d
22,148,d
21,147,d
21,146,d
20,145,d
19,144,d
19,143,d
17,142,d
16,141,d
15,141,d
15,140,d
15,139,d
14,138,d
13,138,d
13,138,d
13,137,d
13,136,d
13,136,d
13,135,d
14,134,d
14,133,d
14,133,d
14,132,d
15,132,d
15,131,d
16,131,d
17,131,d
17,130,d
17,130,d
18,130,d
19,130,d
19,130,d
20,130,d
21,130,d
22,130,d
24,130,d
25,130,d
25,130,d
26,130,d
26,131,d
27,131,d
28,132,d
29,133,d
30,133,d
32,134,d
33,135,d
34,135,d
35,136,d
37,137,d
38,137,d
39,137,d
40,138,d
41,138,d
41,138,d
42,139,d
43,139,d
45,139,d
47,139,d
48,139,d
48,140,d
49,140,d
50,140,d
50,140,d
51,140,d
52,141,d
53,141,d
54,142,d
55,142,d
56,142,d
57,143,d
58,144,d
59,145,d
60,145,d
61,146,d
62,146,d
63,146,d
66,148,d
68,149,d
69,150,d
70,150,d
71,151,d
73,152,d
75,153,d
75,154,d
76,154,d
77,154,d
78,155,d
79,155,d
80,156,d
81,156,d
81,156,d
84,157,d
84,158,d
85,158,d
86,159,d
86,159,d
87,160,d
87,161,d
88,161,d
89,161,d
89,162,d
90,162,d
91,162,d
93,162,d
93,163,d
94,163,d
95,164,d
97,165,d
98,165,d
99,166,d
100,166,d
101,167,d
102,167,d
105,169,d
106,170,d
108,170,d
109,171,d
110,171,d
113,172,d
115,173,d
116,174,d
117,175,d
118,176,d
118,177,d
119,178,d
120,178,d
120,179,d
122,179,d
123,179,d
124,180,d
125,181,d
126,181,d
127,181,d
127,181,d
128,182,d
129,182,d
130,182,d
131,182,d
134,183,d
134,183,d
135,183,d
136,184,d
137,184,d
139,186,d
140,186,d
141,186,d
141,187,d
141,187,d
142,187,d
143,187,d
144,187,d
144,187,d
145,187,d
146,187,d
146,187,d
147,187,d
148,186,d
149,186,d
150,185,d
151,185,d
151,185,d
152,184,d
153,184,d
154,183,d
155,183,d
156,183,d
156,183,d
157,183,d
157,181,d
158,180,d
159,179,d
159,178,d
160,177,d
161,176,d
161,175,d
162,174,d
162,173,d
162,173,d
162,172,d
162,172,d
162,171,d
162,171,d
162,170,d
162,169,d
163,168,d
163,167,d
163,166,d
164,165,d
164,164,d
164,164,d
164,164,d
164,163,d
164,162,d
165,162,d
165,160,d
166,160,d
166,159,d
166,159,d
167,158,d
168,157,d
168,156,d
169,155,d
