x,y,z
323,52,a
323,52,a
323,52,a
323,53,a
324,53,a
325,54,a
326,54,a
326,55,a
326,55,a
327,55,a
327,55,a
328,55,a
329,55,a
331,55,a
331,56,a
332,56,a
332,56,a
332,57,a
334,57,a
335,58,a
336,58,a
336,58,a
337,59,a
338,59,a
339,59,a
339,60,a
340,60,a
341,60,a
343,62,a
344,63,a
345,63,a
345,63,a
346,63,a
347,63,a
348,63,a
348,63,a
349,63,a
350,63,a
350,63,a
351,63,a
351,63,a
352,63,a
352,63,a
353,63,a
353,63,a
354,63,a
354,63,a
355,63,a
355,62,a
356,62,a
356,62,a
356,61,a
357,61,a
358,61,a
358,61,a
359,61,a
359,60,a
360,60,a
361,60,a
361,59,a
361,59,a
361,58,a
362,58,a
362,57,a
362,57,a
362,56,a
362,56,a
363,56,a
363,55,a
363,54,a
363,53,a
363,52,a
363,51,a
364,50,a
364,49,a
364,49,a
364,48,a
364,47,a
364,47,a
364,46,a
364,45,a
364,45,a
364,44,a
364,43,a
364,42,a
364,40,a
364,39,a
364,38,a
364,38,a
364,37,a
364,37,a
364,37,a
364,36,a
364,35,a
364,34,a
364,34,a
364,33,a
364,32,a
364,32,a
364,31,a
364,31,a
364,31,a
363,31,a
363,32,a
363,33,a
363,33,a
363,34,a
363,35,a
363,36,a
363,37,a
363,38,a
363,39,a
363,39,a
363,40,a
363,40,a
363,41,a
363,41,a
363,42,a
363,43,a
363,44,a
363,44,a
363,45,a
363,46,a
363,47,a
363,47,a
363,48,a
363,49,a
363,49,a
363,50,a
363,50,a
363,51,a
364,51,a
364,52,a
364,53,a
364,53,a
364,54,a
364,54,a
364,55,a
364,56,a
364,57,a
364,57,a
364,57,a
364,58,a
364,59,a
365,60,a
365,61,a
366,62,a
366,63,a
367,63,a
367,64,a
367,64,a
368,64,a
368,65,a
369,65,a
370,66,a
370,67,a
370,68,a
371,68,a
372,68,a
372,69,a
373,69,a
373,69,a
373,70,a
374,70,a
375,70,a
375,70,a
376,70,a
377,70,a
378,70,a
379,70,a
380,70,a
380,70,a
381,70,a
382,70,a
382,70,a
383,70,a
384,70,a
385,69,a
386,69,a
388,69,a
389,69,a
391,69,a
391,69,a
391,68,a
392,68,a
393,68,a
394,67,a
395,67,a
396,67,a
397,66,a
398,66,a
399,66,a
400,65,a
400,64,a
401,64,a
402,64,a
402,63,a
402,62,a
403,62,a
404,61,a
404,61,a
405,60,a
406,59,a
407,58,a
408,58,a
408,57,a
409,57,a
409,56,a
410,56,a
410,55,a
411,55,a
412,55,a
412,54,a
413,54,a
413,54,a
414,54,a
415,54,a
415,53,a
416,53,a
416,52,a
417,51,a
418,51,a
418,50,a
419,50,a
419,49,a
419,49,a
419,48,a
420,48,a
420,47,a
420,46,a
421,46,a
421,45,a
422,45,a
422,45,a
422,44,a
423,44,a
423,43,a
423,43,a
423,42,a
424,42,a
424,41,a
425,41,a
425,40,a
425,39,a
426,39,a
426,38,a
426,37,a
427,37,a
427,36,a
428,34,a
428,33,a
428,32,a
428,32,a
428,31,a
428,30,a
429,30,a
429,29,a
430,27,a
430,26,a
431,26,a
431,26,a
431,25,a
432,25,a
432,24,a
432,23,a
433,23,a
433,22,a
434,22,a
434,21,a
434,21,a
435,21,a
435,20,a
435,19,a
435,18,a
436,18,a
436,17,a
436,16,a
436,16,a
436,16,a
436,15,a
436,14,a
437,14,a
437,13,a
437,13,a
437,12,a
438,12,a
438,12,a
438,11,a
438,10,a
438,9,a
437,9,a
436,9,a
436,9,a
435,9,a
434,9,a
433,9,a
433,9,a
432,9,a
431,9,a
431,9,a
430,9,a
428,8,a
427,8,a
427,8,a
425,8,a
424,8,a
423,8,a
422,8,a
421,8,a
418,8,a
414,8,a
411,8,a
409,8,a
409,8,a
407,8,a
403,7,a
401,7,a
399,7,a
397,7,a
396,7,a
395,7,a
392,7,a
389,7,a
388,7,a
387,7,a
385,7,a
380,7,a
376,7,a
375,7,a
373,7,a
371,7,a
370,7,a
366,7,a
365,7,a
362,7,a
361,7,a
359,7,a
358,7,a
358,7,a
355,7,a
354,7,a
353,7,a
352,7,a
350,8,a
348,8,a
347,8,a
346,8,a
342,8,a
341,8,a
340,8,a
338,9,a
337,9,a
335,9,a
334,9,a
334,9,a
330,10,a
328,10,a
327,10,a
325,10,a
324,10,a
324,10,a
323,10,a
321,10,a
319,10,a
317,10,a
316,10,a
312,10,a
311,10,a
311,10,a
310,10,a
309,10,a
310,10,a
311,10,a
311,10,a
311,11,a
312,11,a
312,12,a
312,13,a
313,14,a
313,15,a
313,15,a
313,16,a
314,17,a
314,18,a
315,19,a
315,20,a
316,20,a
317,20,a
317,21,a
317,21,a
317,21,a
319,23,a
320,23,a
320,24,a
321,24,a
321,25,a
322,26,a
323,27,a
324,27,a
324,28,a
324,28,a
324,28,a
325,28,a
326,28,a
327,29,a
328,30,a
328,31,a
329,31,a
329,31,a
330,32,a
331,33,a
332,33,a
332,33,a
334,34,a
334,35,a
335,35,a
335,36,a
335,35,a
334,35,a
334,35,a
333,35,a
332,34,a
331,34,a
331,33,a
330,33,a
330,32,a
330,32,a
329,32,a
329,31,a
328,31,a
328,30,a
326,29,a
326,28,a
325,28,a
325,27,a
324,27,a
323,26,a
323,26,a
322,26,a
321,26,a
321,25,a
320,25,a
320,24,a
319,24,a
319,23,a
319,23,a
319,22,a
318,22,a
318,21,a
317,21,a
317,21,a
316,20,a
316,19,a
315,19,a
315,18,a
314,18,a
314,17,a
314,17,a
314,16,a
313,15,a
313,15,a
312,14,a
312,13,a
311,13,a
310,12,a
310,11,a
309,11,a
309,10,a
308,10,a
308,9,a
307,9,a
306,9,a
306,8,a
305,8,a
304,8,a
303,8,a
302,8,a
301,8,a
301,8,a
300,8,a
300,7,a
298,7,a
297,7,a
297,7,a
296,7,a
295,7,a
295,7,a
